2024-01-07T12:35:53.643Z, down, true, down
2024-01-07T12:42:26.661Z, down, true, down
2024-01-07T12:59:40.402Z, down, true, down
2024-01-07T13:26:54.380Z, up, true, up
2024-01-07T13:31:51.458Z, up, true, up
2024-01-07T13:41:50.902Z, up, true, up
2024-01-07T13:46:51.423Z, up, true, up
2024-01-07T13:51:51.086Z, up, true, up
2024-01-07T13:56:52.113Z, up, true, up
2024-01-08T21:22:02.159Z, none, false, down
2024-01-08T21:27:12.748Z, none, false, down
2024-01-08T21:29:20.741Z, none, false, down
2024-01-08T21:33:34.679Z, none, false, down
2024-01-08T22:08:03.470Z, none, false, down
2024-01-08T22:18:15.976Z, none, false, down
